% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"May 19 2025, 18:10"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)","Molar concentration, c (mol/m^3)"
0,1.4754822793277874E-19,9.964256639679405E-20
2.0E-5,-1.4398272359776786E-20,-1.0606571104346053E-19
4.0E-5,7.428665165419997E-20,-4.030640641413387E-21
6.000000000000001E-5,-9.569849299144307E-20,7.393165487337156E-20
8.0E-5,7.24960818350618E-20,-1.2362798809375933E-19
1.0E-4,5.484287848571533E-20,6.44334421076388E-19
1.2000000000000002E-4,-5.117217889801501E-19,-8.207758019783726E-19
1.4000000000000001E-4,-1.1609149045111807E-18,3.0101060191417054E-19
1.6E-4,1.1610877063742535E-18,2.1223549039550966E-18
1.8E-4,1.1438938632309372E-17,1.6001604335360877E-18
2.0E-4,3.038242638917505E-18,1.6693846305978317E-18
2.2E-4,-3.705865731834195E-17,2.1357704071160335E-17
2.4000000000000003E-4,1.462656579850814E-17,-1.0769008151887051E-16
2.6000000000000003E-4,9.693613356494385E-17,-1.9676721016193976E-16
2.8000000000000003E-4,-7.626039060078343E-16,7.453475566041999E-16
3.0000000000000003E-4,-1.019074638964719E-15,1.7775140117442096E-16
3.2E-4,-1.6336512006708755E-15,-1.520180790688111E-15
3.4E-4,-1.3059801103202473E-14,7.866193483552452E-15
3.6E-4,-9.226587734988999E-14,9.37383653855595E-15
3.8E-4,-5.051598845415875E-13,-2.1361444262528774E-14
4.0E-4,-1.9025681693570985E-12,1.3449955706553004E-13
4.2E-4,-5.638176258149612E-12,1.0307975024610389E-13
4.4E-4,-9.50437271682478E-12,-2.742629148208643E-12
4.6E-4,-8.50857028247393E-12,-9.945094588526542E-12
4.8000000000000007E-4,-2.0142949945774674E-11,-1.1005581003714376E-11
5.0E-4,-3.789383913213602E-11,1.1266254738137031E-11
5.200000000000001E-4,3.2583530089342887E-10,4.486545402932042E-11
5.4E-4,2.0509444166346117E-9,5.927761937639347E-11
5.600000000000001E-4,4.160469770816623E-9,1.236444471622393E-10
5.8E-4,-6.254078803688588E-9,4.268674461463071E-10
6.000000000000001E-4,-6.958590835242592E-8,1.022182385676897E-9
6.2E-4,-2.289019010394145E-7,1.5626685197200324E-9
6.4E-4,3.100636158381718E-7,4.085019403892365E-9
6.600000000000001E-4,7.820532773345631E-6,6.579146503904865E-8
6.8E-4,5.4257716625862614E-5,6.538850391576852E-7
7.000000000000001E-4,2.648435607777488E-4,4.3480474159705815E-6
7.2E-4,0.0010510962700734764,2.3148165998944018E-5
7.400000000000001E-4,0.003558405092381544,9.991038720578875E-5
7.6E-4,0.010543727382877604,3.6568237246487365E-4
7.800000000000001E-4,0.027748526344762922,0.0011709131079543774
8.0E-4,0.06540646714034519,0.00335975529237764
8.200000000000001E-4,0.13915050192125575,0.008741359994014354
8.4E-4,0.26857060192964055,0.02060797619470256
8.600000000000001E-4,0.4734137023178379,0.04451381716449726
8.8E-4,0.7657352404990351,0.0887752442592821
